,event_date,year,time_precision,event_type,inter1,interaction,latitude,longitude,geo_precision,fatalities,timestamp,timestampcon,newtimestamp
1236,25 May 2016,2016,1,Violence against civilians,2,27,11.8934,14.1836,1,11,1524053903,2016-05-25,1464134400.0
1238,24 May 2016,2016,1,Battle-No change of territory,4,44,6.4538,3.2059,1,2,1524053904,2016-05-24,1464048000.0
1240,24 May 2016,2016,1,Violence against civilians,2,27,11.9259,13.2306,2,13,1524053904,2016-05-24,1464048000.0
1242,23 May 2016,2016,1,Riots/Protests,6,60,6.335,5.6275,1,0,1524053904,2016-05-23,1463961600.0
1243,23 May 2016,2016,1,Battle-No change of territory,2,22,11.25,13.4167,1,1,1524053904,2016-05-23,1463961600.0
1245,22 May 2016,2016,1,Riots/Protests,6,60,9.3713,9.6192,1,0,1524053904,2016-05-22,1463875200.0
1246,21 May 2016,2016,1,Riots/Protests,5,15,4.9247,6.2642,1,0,1524053904,2016-05-21,1463788800.0
1248,20 May 2016,2016,1,Violence against civilians,3,37,7.7411,8.5121,1,1,1524053904,2016-05-20,1463702400.0
1250,20 May 2016,2016,1,Violence against civilians,2,27,11.8464,13.1603,1,0,1524053904,2016-05-20,1463702400.0
1252,20 May 2016,2016,1,Violence against civilians,4,47,7.7897,5.5106,2,1,1524053904,2016-05-20,1463702400.0
1254,19 May 2016,2016,1,Riots/Protests,6,60,6.4979,3.3829,1,0,1524053904,2016-05-19,1463616000.0
1255,19 May 2016,2016,1,Riots/Protests,6,60,5.0333,7.9266,1,0,1524053904,2016-05-19,1463616000.0
1256,19 May 2016,2016,1,Riots/Protests,6,60,6.4531,3.3958,1,0,1524053904,2016-05-19,1463616000.0
1257,19 May 2016,2016,1,Riots/Protests,5,50,7.3878,3.8964,1,0,1524053904,2016-05-19,1463616000.0
1258,19 May 2016,2016,1,Violence against civilians,3,37,7.2357,6.9256,2,0,1524053904,2016-05-19,1463616000.0
1260,19 May 2016,2016,1,Riots/Protests,5,50,5.7671,7.1531,2,0,1524053904,2016-05-19,1463616000.0
1261,19 May 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053904,2016-05-19,1463616000.0
1262,19 May 2016,2016,1,Battle-Government regains territory,1,12,11.0333,12.2667,1,12,1524053904,2016-05-19,1463616000.0
1264,19 May 2016,2016,1,Battle-Government regains territory,1,12,11.2,13.1167,1,12,1524053904,2016-05-19,1463616000.0
1266,19 May 2016,2016,1,Violence against civilians,3,37,7.6897,7.0438,2,0,1524053904,2016-05-19,1463616000.0
1268,19 May 2016,2016,1,Battle-Government regains territory,1,12,11.155999999999999,12.7576,2,11,1524053904,2016-05-19,1463616000.0
1270,19 May 2016,2016,1,Violence against civilians,6,16,6.3163,8.1169,1,0,1524053904,2016-05-19,1463616000.0
1272,18 May 2016,2016,1,Riots/Protests,6,60,13.048,5.2143,1,0,1524053904,2016-05-18,1463529600.0
1273,18 May 2016,2016,1,Violence against civilians,3,37,4.8289,7.0701,1,0,1524053904,2016-05-18,1463529600.0
1275,18 May 2016,2016,1,Riots/Protests,5,55,6.5263,3.3571,1,0,1524053904,2016-05-18,1463529600.0
1277,18 May 2016,2016,1,Riots/Protests,5,50,6.5942,3.3375,1,0,1524053904,2016-05-18,1463529600.0
1278,18 May 2016,2016,1,Riots/Protests,5,50,6.335,5.6275,1,0,1524053904,2016-05-18,1463529600.0
1279,17 May 2016,2016,1,Riots/Protests,6,60,6.4281,3.4219999999999997,1,0,1524053904,2016-05-17,1463443200.0
1280,17 May 2016,2016,1,Battle-No change of territory,1,13,4.9247,6.2642,1,2,1524053904,2016-05-17,1463443200.0
1282,17 May 2016,2016,1,Battle-No change of territory,1,13,7.6813,6.4286,1,0,1524053904,2016-05-17,1463443200.0
1284,17 May 2016,2016,1,Riots/Protests,6,60,10.3134,9.8433,1,0,1524053904,2016-05-17,1463443200.0
1285,17 May 2016,2016,1,Non-violent transfer of territory,1,12,13.5407,13.1386,1,0,1524053904,2016-05-17,1463443200.0
1287,17 May 2016,2016,1,Battle-Government regains territory,1,12,11.3334,13.5417,1,15,1524053904,2016-05-17,1463443200.0
1289,16 May 2016,2016,1,Riots/Protests,6,60,8.1333,4.2667,1,0,1524053904,2016-05-16,1463356800.0
1290,16 May 2016,2016,1,Riots/Protests,6,60,6.335,5.6275,1,0,1524053904,2016-05-16,1463356800.0
1291,15 May 2016,2016,1,Riots/Protests,5,15,6.1454,6.7885,1,2,1524053904,2016-05-15,1463270400.0
1293,14 May 2016,2016,1,Battle-No change of territory,1,12,11.25,13.4167,1,2,1524053904,2016-05-14,1463184000.0
1295,14 May 2016,2016,2,Non-violent transfer of territory,1,12,11.1036,13.713,2,0,1524053904,2016-05-14,1463184000.0
1297,14 May 2016,2016,2,Non-violent transfer of territory,1,12,11.0667,13.7333,1,0,1524053904,2016-05-14,1463184000.0
1299,14 May 2016,2016,2,Riots/Protests,6,60,6.335,5.6275,1,0,1524053904,2016-05-14,1463184000.0
1300,13 May 2016,2016,1,Violence against civilians,4,47,7.1694,9.2847,2,12,1524053904,2016-05-13,1463097600.0
1302,13 May 2016,2016,1,Strategic development,1,12,11.25,13.4167,1,0,1524053904,2016-05-13,1463097600.0
1304,12 May 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053904,2016-05-12,1463011200.0
1305,12 May 2016,2016,1,Violence against civilians,2,27,11.8464,13.1603,1,7,1524053904,2016-05-12,1463011200.0
1307,11 May 2016,2016,1,Riots/Protests,5,55,6.0199,6.9148,1,0,1524053904,2016-05-11,1462924800.0
1309,11 May 2016,2016,1,Riots/Protests,6,60,8.5,4.55,1,0,1524053904,2016-05-11,1462924800.0
1310,11 May 2016,2016,1,Violence against civilians,2,27,11.8464,13.1603,1,6,1524053904,2016-05-11,1462924800.0
1312,11 May 2016,2016,1,Battle-No change of territory,1,12,11.8464,13.1603,3,29,1524053904,2016-05-11,1462924800.0
1314,11 May 2016,2016,1,Riots/Protests,5,15,12.0001,8.5167,1,0,1524053904,2016-05-11,1462924800.0
1316,10 May 2016,2016,1,Riots/Protests,6,60,6.2517,8.1121,1,0,1524053904,2016-05-10,1462838400.0
1317,10 May 2016,2016,1,Riots/Protests,6,60,7.8024,6.742999999999999,1,0,1524053904,2016-05-10,1462838400.0
1318,10 May 2016,2016,1,Battle-No change of territory,1,13,4.5991,5.6512,1,3,1524053904,2016-05-10,1462838400.0
1320,10 May 2016,2016,1,Riots/Protests,6,60,5.1066,7.3667,1,0,1524053904,2016-05-10,1462838400.0
1321,10 May 2016,2016,1,Battle-No change of territory,1,13,4.7774,7.0134,1,2,1524053904,2016-05-10,1462838400.0
1323,10 May 2016,2016,1,Battle-No change of territory,1,12,11.8464,13.1603,3,29,1524053904,2016-05-10,1462838400.0
1325,10 May 2016,2016,1,Battle-No change of territory,1,12,11.8464,13.1603,1,1,1524053904,2016-05-10,1462838400.0
1327,09 May 2016,2016,1,Riots/Protests,6,60,5.4833,7.0304,1,0,1524053904,2016-05-09,1462752000.0
1328,09 May 2016,2016,1,Riots/Protests,5,15,5.4527,5.8696,2,0,1524053904,2016-05-09,1462752000.0
1330,09 May 2016,2016,1,Violence against civilians,3,37,4.6737,7.362,1,3,1524053904,2016-05-09,1462752000.0
1332,09 May 2016,2016,1,Riots/Protests,5,50,7.4667,4.5667,1,0,1524053904,2016-05-09,1462752000.0
1333,09 May 2016,2016,1,Battle-No change of territory,1,13,5.0623,6.5416,1,5,1524053904,2016-05-09,1462752000.0
1335,08 May 2016,2016,1,Violence against civilians,4,47,5.5167,5.75,1,1,1524053904,2016-05-08,1462665600.0
1337,08 May 2016,2016,1,Violence against civilians,3,37,6.8498,5.7784,1,0,1524053904,2016-05-08,1462665600.0
1339,08 May 2016,2016,1,Violence against civilians,4,47,8.5333,10.4667,2,6,1524053904,2016-05-08,1462665600.0
1341,08 May 2016,2016,1,Battle-Government regains territory,1,12,11.25,13.4167,2,8,1524053904,2016-05-08,1462665600.0
1343,08 May 2016,2016,2,Non-violent transfer of territory,1,12,11.1036,13.713,2,0,1524053904,2016-05-08,1462665600.0
1345,08 May 2016,2016,2,Non-violent transfer of territory,1,12,11.0261,13.585,1,0,1524053904,2016-05-08,1462665600.0
1347,07 May 2016,2016,1,Violence against civilians,4,47,5.3732,6.1107,1,5,1524053904,2016-05-07,1462579200.0
1349,06 May 2016,2016,1,Riots/Protests,6,60,10.3134,9.8433,1,0,1524053904,2016-05-06,1462492800.0
1350,06 May 2016,2016,1,Riots/Protests,6,60,10.3134,9.8433,1,0,1524053904,2016-05-06,1462492800.0
1351,05 May 2016,2016,1,Remote violence,3,30,5.5167,5.75,1,0,1524053904,2016-05-05,1462406400.0
1352,05 May 2016,2016,1,Battle-No change of territory,1,13,12.1628,6.6614,1,20,1524053904,2016-05-05,1462406400.0
1354,05 May 2016,2016,1,Riots/Protests,6,60,5.1066,7.3667,1,0,1524053905,2016-05-05,1462406400.0
1355,05 May 2016,2016,1,Battle-No change of territory,4,44,5.1066,7.3667,1,3,1524053905,2016-05-05,1462406400.0
1357,05 May 2016,2016,1,Violence against civilians,1,17,5.1066,7.3667,1,2,1524053905,2016-05-05,1462406400.0
1359,04 May 2016,2016,1,Riots/Protests,6,60,7.3878,3.8964,1,0,1524053905,2016-05-04,1462320000.0
1360,04 May 2016,2016,1,Violence against civilians,4,47,6.4531,3.3958,1,1,1524053905,2016-05-04,1462320000.0
1362,04 May 2016,2016,1,Riots/Protests,6,60,9.9285,8.8921,1,0,1524053905,2016-05-04,1462320000.0
1363,04 May 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053905,2016-05-04,1462320000.0
1364,03 May 2016,2016,1,Remote violence,3,30,5.5167,5.75,1,0,1524053905,2016-05-03,1462233600.0
1365,03 May 2016,2016,1,Riots/Protests,6,60,6.8,7.1467,1,0,1524053905,2016-05-03,1462233600.0
1366,03 May 2016,2016,1,Riots/Protests,6,60,7.0932,4.8353,1,0,1524053905,2016-05-03,1462233600.0
1367,03 May 2016,2016,1,Violence against civilians,3,37,4.5394,6.4003,1,6,1524053905,2016-05-03,1462233600.0
1369,03 May 2016,2016,1,Riots/Protests,6,60,9.6139,6.5569,1,0,1524053905,2016-05-03,1462233600.0
1370,03 May 2016,2016,1,Violence against civilians,3,37,9.0833,6.0167,1,0,1524053905,2016-05-03,1462233600.0
1372,03 May 2016,2016,1,Remote violence,3,37,6.0158,6.7446,1,0,1524053905,2016-05-03,1462233600.0
1374,02 May 2016,2016,1,Violence against civilians,3,37,7.3588,7.0994,1,1,1524053905,2016-05-02,1462147200.0
1376,01 May 2016,2016,1,Battle-No change of territory,4,44,5.8086,8.0812,2,0,1524053905,2016-05-01,1462060800.0
1378,01 May 2016,2016,1,Battle-No change of territory,1,14,5.8224,8.1584,1,3,1524053905,2016-05-01,1462060800.0
1380,01 May 2016,2016,1,Violence against civilians,4,47,9.3888,8.5778,1,2,1524053905,2016-05-01,1462060800.0
1382,01 May 2016,2016,1,Riots/Protests,5,15,5.8931,7.9374,1,0,1524053905,2016-05-01,1462060800.0
1384,01 May 2016,2016,1,Battle-No change of territory,1,12,12.3667,14.35,1,9,1524053905,2016-05-01,1462060800.0
1386,30 April 2016,2016,1,Battle-No change of territory,4,44,5.8086,8.0812,2,0,1524053905,2016-04-30,1461974400.0
1388,30 April 2016,2016,1,Violence against civilians,4,47,8.5294,7.7242,2,10,1524053905,2016-04-30,1461974400.0
1390,30 April 2016,2016,1,Violence against civilians,4,47,7.9975,7.8312,1,10,1524053905,2016-04-30,1461974400.0
1392,30 April 2016,2016,2,Riots/Protests,5,55,4.5333,6.4167,1,2,1524053905,2016-04-30,1461974400.0
1394,30 April 2016,2016,1,Violence against civilians,3,37,5.074,6.6535,1,19,1524053905,2016-04-30,1461974400.0
1396,29 April 2016,2016,1,Battle-No change of territory,4,44,5.8086,8.0812,2,0,1524053905,2016-04-29,1461888000.0
1398,29 April 2016,2016,1,Riots/Protests,5,50,6.4531,3.3958,1,0,1524053905,2016-04-29,1461888000.0
1399,29 April 2016,2016,1,Battle-Government regains territory,1,12,11.25,13.4167,2,4,1524053905,2016-04-29,1461888000.0
1401,28 April 2016,2016,1,Riots/Protests,6,60,9.2,12.4833,1,0,1524053905,2016-04-28,1461801600.0
1402,28 April 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053905,2016-04-28,1461801600.0
1403,28 April 2016,2016,1,Riots/Protests,6,60,6.2006,6.7339,1,0,1524053905,2016-04-28,1461801600.0
1404,27 April 2016,2016,2,Riots/Protests,5,55,11.7594,9.3392,1,1,1524053905,2016-04-27,1461715200.0
1406,27 April 2016,2016,1,Riots/Protests,5,55,6.097,6.8184,1,0,1524053905,2016-04-27,1461715200.0
1408,27 April 2016,2016,1,Riots/Protests,6,60,6.1516,6.8446,1,0,1524053905,2016-04-27,1461715200.0
1409,27 April 2016,2016,1,Violence against civilians,3,37,7.2333,3.0333,2,0,1524053905,2016-04-27,1461715200.0
1411,27 April 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053905,2016-04-27,1461715200.0
1412,26 April 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053905,2016-04-26,1461628800.0
1413,26 April 2016,2016,1,Riots/Protests,6,60,7.7667,4.5667,1,0,1524053905,2016-04-26,1461628800.0
1414,26 April 2016,2016,1,Violence against civilians,4,47,5.8648,5.7537,1,0,1524053905,2016-04-26,1461628800.0
1416,26 April 2016,2016,1,Riots/Protests,5,50,7.3878,3.8964,1,0,1524053905,2016-04-26,1461628800.0
1417,26 April 2016,2016,1,Riots/Protests,5,50,5.0333,7.9266,1,0,1524053905,2016-04-26,1461628800.0
1418,26 April 2016,2016,1,Battle-No change of territory,1,12,12.9234,13.5606,2,7,1524053905,2016-04-26,1461628800.0
1420,26 April 2016,2016,1,Riots/Protests,5,55,9.0833,7.5333,1,0,1524053905,2016-04-26,1461628800.0
1422,25 April 2016,2016,1,Violence against civilians,4,47,5.5167,5.75,1,3,1524053905,2016-04-25,1461542400.0
1424,25 April 2016,2016,1,Violence against civilians,3,37,7.7667,4.5667,1,1,1524053905,2016-04-25,1461542400.0
1426,25 April 2016,2016,1,Violence against civilians,4,47,5.8467,6.1526,1,0,1524053905,2016-04-25,1461542400.0
1428,25 April 2016,2016,1,Riots/Protests,5,50,7.3878,3.8964,1,0,1524053905,2016-04-25,1461542400.0
1429,25 April 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053905,2016-04-25,1461542400.0
1430,25 April 2016,2016,1,Violence against civilians,4,47,6.8,7.1467,1,48,1524053905,2016-04-25,1461542400.0
1432,25 April 2016,2016,1,Riots/Protests,6,60,7.621,5.2215,1,0,1524053905,2016-04-25,1461542400.0
1433,24 April 2016,2016,1,Violence against civilians,4,47,5.5167,5.75,1,2,1524053905,2016-04-24,1461456000.0
1435,24 April 2016,2016,1,Battle-No change of territory,1,12,10.8583,12.2005,1,5,1524053905,2016-04-24,1461456000.0
1437,23 April 2016,2016,1,Battle-No change of territory,1,12,11.8464,13.1603,1,1,1524053905,2016-04-23,1461369600.0
1439,23 April 2016,2016,1,Riots/Protests,6,60,6.5203,3.3538,1,0,1524053905,2016-04-23,1461369600.0
1440,23 April 2016,2016,2,Violence against civilians,4,47,7.8667,10.9667,2,6,1524053905,2016-04-23,1461369600.0
1442,22 April 2016,2016,1,Strategic development,1,12,12.2829,14.4724,1,0,1524053905,2016-04-22,1461283200.0
1444,22 April 2016,2016,1,Violence against civilians,4,47,9.3,11.0167,1,5,1524053905,2016-04-22,1461283200.0
1446,22 April 2016,2016,1,Violence against civilians,4,47,9.3,11.0167,1,5,1524053905,2016-04-22,1461283200.0
1448,21 April 2016,2016,1,Riots/Protests,6,60,5.5167,5.75,1,0,1524053905,2016-04-21,1461196800.0
1449,21 April 2016,2016,1,Violence against civilians,4,47,7.7167,10.05,2,7,1524053905,2016-04-21,1461196800.0
1451,21 April 2016,2016,1,Violence against civilians,3,37,7.187,3.341,2,0,1524053905,2016-04-21,1461196800.0
1453,21 April 2016,2016,1,Battle-Government regains territory,1,12,11.8464,13.1603,3,12,1524053905,2016-04-21,1461196800.0
1455,21 April 2016,2016,1,Battle-No change of territory,1,12,12.0787,14.4519,2,8,1524053905,2016-04-21,1461196800.0
1457,21 April 2016,2016,1,Non-violent transfer of territory,1,12,11.155999999999999,12.7576,2,0,1524053905,2016-04-21,1461196800.0
1459,21 April 2016,2016,1,Battle-Government regains territory,1,12,11.1223,13.0069,1,9,1524053905,2016-04-21,1461196800.0
1461,21 April 2016,2016,1,Non-violent transfer of territory,1,12,11.2,13.0833,1,0,1524053905,2016-04-21,1461196800.0
1463,20 April 2016,2016,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1524053905,2016-04-20,1461110400.0
1464,20 April 2016,2016,1,Violence against civilians,2,27,10.7239,11.6897,2,6,1524053905,2016-04-20,1461110400.0
1466,20 April 2016,2016,1,Riots/Protests,5,15,6.4426,7.5022,1,0,1524053905,2016-04-20,1461110400.0
1468,20 April 2016,2016,1,Riots/Protests,6,60,6.2006,6.7339,1,0,1524053905,2016-04-20,1461110400.0
1469,20 April 2016,2016,2,Battle-No change of territory,1,14,8.9142,7.8889,1,0,1524053905,2016-04-20,1461110400.0
1471,20 April 2016,2016,1,Violence against civilians,2,27,11.6621,14.0201,1,7,1524053905,2016-04-20,1461110400.0
1473,19 April 2016,2016,1,Battle-No change of territory,1,13,6.7424,3.4219,1,5,1524053905,2016-04-19,1461024000.0
1475,19 April 2016,2016,1,Violence against civilians,2,27,10.7239,11.6897,2,5,1524053905,2016-04-19,1461024000.0
1477,19 April 2016,2016,1,Riots/Protests,6,60,6.2006,6.7339,1,0,1524053905,2016-04-19,1461024000.0
1478,19 April 2016,2016,1,Battle-No change of territory,1,12,11.5221,13.6856,1,10,1524053905,2016-04-19,1461024000.0
1480,18 April 2016,2016,1,Riots/Protests,6,60,6.1516,6.8446,1,0,1524053905,2016-04-18,1460937600.0
1481,18 April 2016,2016,1,Riots/Protests,5,50,10.2897,11.1673,1,0,1524053905,2016-04-18,1460937600.0
1482,18 April 2016,2016,1,Riots/Protests,5,50,7.7411,8.5121,1,0,1524053905,2016-04-18,1460937600.0
1483,18 April 2016,2016,1,Riots/Protests,6,60,6.4531,3.3958,1,0,1524053905,2016-04-18,1460937600.0
1484,18 April 2016,2016,1,Battle-No change of territory,4,44,9.3713,9.6192,2,0,1524053905,2016-04-18,1460937600.0
1486,18 April 2016,2016,1,Riots/Protests,5,50,9.9285,8.8921,1,0,1524053905,2016-04-18,1460937600.0
1487,18 April 2016,2016,1,Riots/Protests,6,60,8.5,4.55,1,0,1524053905,2016-04-18,1460937600.0
1488,18 April 2016,2016,1,Riots/Protests,6,60,6.5942,3.3375,1,0,1524053905,2016-04-18,1460937600.0
1489,18 April 2016,2016,1,Riots/Protests,5,50,10.3134,9.8433,1,0,1524053905,2016-04-18,1460937600.0
1490,18 April 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053905,2016-04-18,1460937600.0
1491,18 April 2016,2016,1,Battle-No change of territory,1,12,12.8847,12.5081,1,30,1524053905,2016-04-18,1460937600.0
1493,18 April 2016,2016,1,Battle-No change of territory,1,12,13.0977,12.4952,1,10,1524053905,2016-04-18,1460937600.0
1495,17 April 2016,2016,1,Battle-No change of territory,4,44,11.4241,5.2288,2,7,1524053905,2016-04-17,1460851200.0
1497,17 April 2016,2016,1,Battle-No change of territory,4,44,9.3713,9.6192,2,0,1524053905,2016-04-17,1460851200.0
1499,17 April 2016,2016,1,Battle-No change of territory,4,44,5.9203,8.2127,1,3,1524053905,2016-04-17,1460851200.0
1501,16 April 2016,2016,1,Battle-No change of territory,4,44,5.9203,8.2127,1,4,1524053906,2016-04-16,1460764800.0
1503,15 April 2016,2016,3,Battle-No change of territory,4,44,7.5618,8.8887,2,0,1524053906,2016-04-15,1460678400.0
1505,15 April 2016,2016,3,Battle-No change of territory,4,44,7.5,9.3333,2,0,1524053906,2016-04-15,1460678400.0
1507,15 April 2016,2016,3,Battle-No change of territory,4,44,7.827999999999999,7.8141,2,0,1524053906,2016-04-15,1460678400.0
1509,15 April 2016,2016,3,Battle-No change of territory,4,44,7.7411,8.5121,2,0,1524053906,2016-04-15,1460678400.0
1511,15 April 2016,2016,1,Battle-No change of territory,4,44,5.9203,8.2127,1,4,1524053906,2016-04-15,1460678400.0
1513,15 April 2016,2016,1,Violence against civilians,3,37,6.6155,3.5087,1,1,1524053906,2016-04-15,1460678400.0
1515,15 April 2016,2016,3,Battle-No change of territory,4,44,7.4667,9.2,2,0,1524053906,2016-04-15,1460678400.0
1517,15 April 2016,2016,3,Battle-No change of territory,4,44,7.8155,8.8604,2,0,1524053906,2016-04-15,1460678400.0
1519,15 April 2016,2016,3,Battle-No change of territory,4,44,6.8879,9.2355,2,0,1524053906,2016-04-15,1460678400.0
1521,15 April 2016,2016,1,Battle-Government regains territory,1,12,12.3512,14.0785,1,27,1524053906,2016-04-15,1460678400.0
1523,15 April 2016,2016,1,Battle-No change of territory,1,12,11.1767,13.8256,1,7,1524053906,2016-04-15,1460678400.0
1525,14 April 2016,2016,1,Riots/Protests,6,60,4.9247,6.2642,1,0,1518765568,2016-04-14,1460592000.0
1526,14 April 2016,2016,1,Violence against civilians,3,37,4.7860000000000005,7.1269,1,2,1518765568,2016-04-14,1460592000.0
1528,14 April 2016,2016,1,Battle-No change of territory,4,44,8.3667,8.7667,2,3,1518765568,2016-04-14,1460592000.0
1530,14 April 2016,2016,1,Riots/Protests,5,50,12.1628,6.6614,1,0,1518765568,2016-04-14,1460592000.0
1531,14 April 2016,2016,1,Violence against civilians,3,37,5.1009,6.8141,1,2,1518765568,2016-04-14,1460592000.0
1533,14 April 2016,2016,1,Violence against civilians,3,37,4.6387,7.2983,1,2,1518765568,2016-04-14,1460592000.0
1535,14 April 2016,2016,1,Battle-No change of territory,4,44,7.7573,8.7521,1,2,1518765568,2016-04-14,1460592000.0
1537,14 April 2016,2016,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1524053906,2016-04-14,1460592000.0
1538,13 April 2016,2016,1,Riots/Protests,5,50,5.4527,5.8696,2,0,1524053906,2016-04-13,1460505600.0
1539,13 April 2016,2016,1,Riots/Protests,6,60,6.6108,3.2961,1,0,1524053906,2016-04-13,1460505600.0
1540,13 April 2016,2016,1,Violence against civilians,3,37,9.1281,7.0611,1,0,1524053906,2016-04-13,1460505600.0
1542,13 April 2016,2016,1,Violence against civilians,3,37,9.0833,7.5333,1,0,1524053906,2016-04-13,1460505600.0
1544,12 April 2016,2016,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1524053906,2016-04-12,1460419200.0
1545,12 April 2016,2016,1,Riots/Protests,6,60,10.5222,7.4383,1,0,1524053906,2016-04-12,1460419200.0
1546,12 April 2016,2016,2,Battle-Government regains territory,1,12,11.3475,14.0746,1,3,1524053906,2016-04-12,1460419200.0
1548,12 April 2016,2016,2,Battle-Government regains territory,1,12,11.3095,14.1131,1,3,1524053906,2016-04-12,1460419200.0
1550,12 April 2016,2016,2,Battle-Government regains territory,1,12,11.3642,14.0758,1,3,1524053906,2016-04-12,1460419200.0
1552,12 April 2016,2016,2,Battle-Government regains territory,1,12,11.5221,13.6856,2,2,1524053906,2016-04-12,1460419200.0
1554,11 April 2016,2016,1,Violence against civilians,4,47,6.8561,7.3927,2,0,1524053906,2016-04-11,1460332800.0
1556,11 April 2016,2016,1,Riots/Protests,6,60,4.9247,6.2642,1,0,1524053906,2016-04-11,1460332800.0
1557,11 April 2016,2016,1,Violence against civilians,4,47,7.5,11.3667,2,44,1524053906,2016-04-11,1460332800.0
1559,11 April 2016,2016,1,Violence against civilians,4,47,6.8561,7.3927,2,0,1524053906,2016-04-11,1460332800.0
1561,11 April 2016,2016,1,Riots/Protests,5,15,4.7774,7.0134,1,1,1524053906,2016-04-11,1460332800.0
1563,11 April 2016,2016,1,Riots/Protests,5,50,7.7411,8.5121,1,0,1524053906,2016-04-11,1460332800.0
1564,10 April 2016,2016,1,Violence against civilians,3,37,7.5,11.3667,2,1,1524053906,2016-04-10,1460246400.0
1566,10 April 2016,2016,1,Violence against civilians,4,47,7.8,11.1,1,25,1524053906,2016-04-10,1460246400.0
1568,10 April 2016,2016,1,Violence against civilians,4,47,7.4333,11.8,1,25,1524053906,2016-04-10,1460246400.0
1570,10 April 2016,2016,1,Riots/Protests,5,15,4.7774,7.0134,1,2,1524053906,2016-04-10,1460246400.0
1572,09 April 2016,2016,1,Violence against civilians,4,47,5.7902,6.1047,1,2,1524053906,2016-04-09,1460160000.0
1574,09 April 2016,2016,1,Riots/Protests,5,50,7.4696,5.7362,1,0,1524053906,2016-04-09,1460160000.0
1575,09 April 2016,2016,1,Violence against civilians,3,37,9.0833,7.5333,1,0,1524053906,2016-04-09,1460160000.0
1577,08 April 2016,2016,1,Violence against civilians,4,47,7.5618,8.8887,1,1,1524053906,2016-04-08,1460073600.0
1579,08 April 2016,2016,1,Battle-No change of territory,1,12,11.8464,13.1603,2,5,1524053906,2016-04-08,1460073600.0
1581,07 April 2016,2016,1,Riots/Protests,6,60,6.4979,3.3829,1,0,1524053906,2016-04-07,1459987200.0
1582,07 April 2016,2016,2,Violence against civilians,4,47,7.106,6.6966,2,2,1524053906,2016-04-07,1459987200.0
1584,06 April 2016,2016,1,Riots/Protests,6,60,6.4613,3.3696,1,0,1524053906,2016-04-06,1459900800.0
1585,06 April 2016,2016,1,Riots/Protests,5,50,6.4979,3.3829,1,0,1524053906,2016-04-06,1459900800.0
1586,06 April 2016,2016,1,Riots/Protests,6,60,5.6325,7.3054,2,0,1524053906,2016-04-06,1459900800.0
1587,06 April 2016,2016,1,Riots/Protests,5,55,9.1413,7.3526,1,0,1524053906,2016-04-06,1459900800.0
1589,05 April 2016,2016,1,Riots/Protests,6,60,6.4538,3.2059,1,0,1524053906,2016-04-05,1459814400.0
1590,05 April 2016,2016,1,Battle-No change of territory,1,12,4.4833,7.4146,1,0,1524053906,2016-04-05,1459814400.0
1592,04 April 2016,2016,1,Riots/Protests,5,50,5.5167,5.75,1,0,1524053906,2016-04-04,1459728000.0
1593,04 April 2016,2016,1,Riots/Protests,5,50,7.5618,8.8887,1,0,1524053906,2016-04-04,1459728000.0
1594,04 April 2016,2016,2,Battle-No change of territory,4,44,5.5585,6.3909,1,4,1524053906,2016-04-04,1459728000.0
1596,03 April 2016,2016,1,Violence against civilians,4,47,7.5618,8.8887,1,4,1524053906,2016-04-03,1459641600.0
1598,03 April 2016,2016,1,Violence against civilians,3,37,7.5618,8.8887,1,2,1524053906,2016-04-03,1459641600.0
1600,03 April 2016,2016,1,Battle-Government regains territory,1,12,11.4911,14.295,1,3,1524053906,2016-04-03,1459641600.0
1602,03 April 2016,2016,1,Battle-Government regains territory,1,12,11.4137,14.3203,1,2,1524053906,2016-04-03,1459641600.0
1604,03 April 2016,2016,1,Battle-Government regains territory,1,12,11.3729,14.2946,1,2,1524053906,2016-04-03,1459641600.0
1606,03 April 2016,2016,1,Battle-Government regains territory,1,12,11.3833,13.95,1,2,1524053906,2016-04-03,1459641600.0
1608,03 April 2016,2016,1,Non-violent transfer of territory,1,12,11.4989,14.2351,1,0,1524053906,2016-04-03,1459641600.0
1610,03 April 2016,2016,1,Non-violent transfer of territory,1,12,11.5022,14.0858,1,0,1524053906,2016-04-03,1459641600.0
1612,03 April 2016,2016,1,Battle-Government regains territory,1,12,11.4146,14.325999999999999,1,3,1524053906,2016-04-03,1459641600.0
1614,03 April 2016,2016,1,Non-violent transfer of territory,1,12,11.5221,13.6856,2,0,1524053906,2016-04-03,1459641600.0
